event-id,visible,timestamp,location-long,location-lat,locality,sensor-type,individual-taxon-canonical-name,tag-local-identifier,individual-local-identifier,study-name
36178093018,TRUE,49:01.0,130.1454,-0.147,Raja Ampat,gps,Mobula,140902,140902,Reef manta ray (Mobula alfredi) home range in Indonesia
36178093019,TRUE,19:39.0,130.0867,-0.1995,Raja Ampat,gps,Mobula,140902,140902,Reef manta ray (Mobula alfredi) home range in Indonesia
36178093020,TRUE,57:55.0,130.1236,-0.1392,Raja Ampat,gps,Mobula,140902,140902,Reef manta ray (Mobula alfredi) home range in Indonesia
36178093021,TRUE,05:42.0,130.1238,-0.1402,Raja Ampat,gps,Mobula,140902,140902,Reef manta ray (Mobula alfredi) home range in Indonesia
36178093022,TRUE,21:01.0,130.1379,-0.1938,Raja Ampat,gps,Mobula,140902,140902,Reef manta ray (Mobula alfredi) home range in Indonesia
36178093023,TRUE,53:14.0,130.1852,-0.0701,Raja Ampat,gps,Mobula,140902,140902,Reef manta ray (Mobula alfredi) home range in Indonesia
36178093024,TRUE,43:59.0,130.2372,-0.0855,Raja Ampat,gps,Mobula,140902,140902,Reef manta ray (Mobula alfredi) home range in Indonesia
36178093025,TRUE,20:22.0,130.101,-0.2224,Raja Ampat,gps,Mobula,140902,140902,Reef manta ray (Mobula alfredi) home range in Indonesia
36178093026,TRUE,54:13.0,130.1204,-0.2149,Raja Ampat,gps,Mobula,140902,140902,Reef manta ray (Mobula alfredi) home range in Indonesia
36178093027,TRUE,54:00.0,130.1401,-0.1812,Raja Ampat,gps,Mobula,140902,140902,Reef manta ray (Mobula alfredi) home range in Indonesia
36178093028,TRUE,29:25.0,130.1273,-0.1417,Raja Ampat,gps,Mobula,140902,140902,Reef manta ray (Mobula alfredi) home range in Indonesia
36178093029,TRUE,54:12.0,130.1134,-0.17,Raja Ampat,gps,Mobula,140902,140902,Reef manta ray (Mobula alfredi) home range in Indonesia
36178093030,TRUE,04:22.0,130.1175,-0.1682,Raja Ampat,gps,Mobula,140902,140902,Reef manta ray (Mobula alfredi) home range in Indonesia
36178093031,TRUE,15:01.0,130.1463,-0.1647,Raja Ampat,gps,Mobula,140902,140902,Reef manta ray (Mobula alfredi) home range in Indonesia
36178093032,TRUE,57:18.0,130.1592,-0.1669,Raja Ampat,gps,Mobula,140902,140902,Reef manta ray (Mobula alfredi) home range in Indonesia
36178093033,TRUE,40:59.0,130.1189,-0.1922,Raja Ampat,gps,Mobula,140902,140902,Reef manta ray (Mobula alfredi) home range in Indonesia
36178093034,TRUE,36:49.0,130.1454,-0.2273,Raja Ampat,gps,Mobula,140902,140902,Reef manta ray (Mobula alfredi) home range in Indonesia
36178093035,TRUE,12:18.0,130.1447,-0.2032,Raja Ampat,gps,Mobula,140902,140902,Reef manta ray (Mobula alfredi) home range in Indonesia
36178093036,TRUE,18:07.0,130.1437,-0.2046,Raja Ampat,gps,Mobula,140902,140902,Reef manta ray (Mobula alfredi) home range in Indonesia
36178093037,TRUE,53:50.0,130.1537,-0.2553,Raja Ampat,gps,Mobula,140902,140902,Reef manta ray (Mobula alfredi) home range in Indonesia
36178093038,TRUE,40:06.0,130.1641,-0.2352,Raja Ampat,gps,Mobula,140902,140902,Reef manta ray (Mobula alfredi) home range in Indonesia
36178093039,TRUE,42:35.0,130.1234,-0.1395,Raja Ampat,gps,Mobula,140902,140902,Reef manta ray (Mobula alfredi) home range in Indonesia
36178093040,TRUE,47:08.0,130.1235,-0.1396,Raja Ampat,gps,Mobula,140902,140902,Reef manta ray (Mobula alfredi) home range in Indonesia
36178093041,TRUE,24:11.0,130.2799,-0.2974,Raja Ampat,gps,Mobula,140902,140902,Reef manta ray (Mobula alfredi) home range in Indonesia
36178093042,TRUE,26:10.0,130.1133,-0.2032,Raja Ampat,gps,Mobula,140902,140902,Reef manta ray (Mobula alfredi) home range in Indonesia
36178093043,TRUE,31:08.0,130.1151,-0.2027,Raja Ampat,gps,Mobula,140902,140902,Reef manta ray (Mobula alfredi) home range in Indonesia
36178093044,TRUE,35:49.0,130.123,-0.161,Raja Ampat,gps,Mobula,140902,140902,Reef manta ray (Mobula alfredi) home range in Indonesia
36178093045,TRUE,17:11.0,130.2604,-0.0735,Raja Ampat,gps,Mobula,140902,140902,Reef manta ray (Mobula alfredi) home range in Indonesia
36178093046,TRUE,59:09.0,130.133,-0.2025,Raja Ampat,gps,Mobula,140902,140902,Reef manta ray (Mobula alfredi) home range in Indonesia
36178093047,TRUE,08:18.0,130.1324,-0.2042,Raja Ampat,gps,Mobula,140902,140902,Reef manta ray (Mobula alfredi) home range in Indonesia
36178093048,TRUE,11:12.0,130.1942,-0.1855,Raja Ampat,gps,Mobula,140902,140902,Reef manta ray (Mobula alfredi) home range in Indonesia
36178093049,TRUE,16:46.0,130.1944,-0.1857,Raja Ampat,gps,Mobula,140902,140902,Reef manta ray (Mobula alfredi) home range in Indonesia
36178093050,TRUE,56:51.0,130.1871,-0.1885,Raja Ampat,gps,Mobula,140902,140902,Reef manta ray (Mobula alfredi) home range in Indonesia
36178093051,TRUE,16:33.0,130.1821,-0.2032,Raja Ampat,gps,Mobula,140902,140902,Reef manta ray (Mobula alfredi) home range in Indonesia
36178093052,TRUE,55:09.0,130.349,-0.0068,Raja Ampat,gps,Mobula,140902,140902,Reef manta ray (Mobula alfredi) home range in Indonesia
36178093053,TRUE,21:17.0,130.285,-0.0589,Raja Ampat,gps,Mobula,140902,140902,Reef manta ray (Mobula alfredi) home range in Indonesia
36178093054,TRUE,42:02.0,130.3171,-0.0061,Raja Ampat,gps,Mobula,140902,140902,Reef manta ray (Mobula alfredi) home range in Indonesia
36178093055,TRUE,31:29.0,130.2855,-0.0417,Raja Ampat,gps,Mobula,140902,140902,Reef manta ray (Mobula alfredi) home range in Indonesia
36178093056,TRUE,43:25.0,130.2826,-0.0225,Raja Ampat,gps,Mobula,140902,140902,Reef manta ray (Mobula alfredi) home range in Indonesia
36178093057,TRUE,23:26.0,130.2854,-0.0119,Raja Ampat,gps,Mobula,140902,140902,Reef manta ray (Mobula alfredi) home range in Indonesia
36178093058,TRUE,42:45.0,130.3249,-0.0058,Raja Ampat,gps,Mobula,140902,140902,Reef manta ray (Mobula alfredi) home range in Indonesia
36178093059,TRUE,10:27.0,130.3341,-0.0356,Raja Ampat,gps,Mobula,140902,140902,Reef manta ray (Mobula alfredi) home range in Indonesia
36178093060,TRUE,16:10.0,130.3234,-0.0334,Raja Ampat,gps,Mobula,140902,140902,Reef manta ray (Mobula alfredi) home range in Indonesia
